"lastname";"date";"sentiment"
komorowski;2015-03-16;57
duda;2015-03-16;6
korwin;2015-03-16;19
ogorek;2015-03-16;3
jarubas;2015-03-16;3
kukiz;2015-03-16;21
palikot;2015-03-16;-4
wilk;2015-03-16;7
braun;2015-03-16;0
kowalski;2015-03-16;2
tanajno;2015-03-16;0
komorowski;2015-03-17;68
duda;2015-03-17;3
korwin;2015-03-17;18
ogorek;2015-03-17;-2
jarubas;2015-03-17;1
kukiz;2015-03-17;-5
palikot;2015-03-17;-1
wilk;2015-03-17;0
braun;2015-03-17;-1
kowalski;2015-03-17;-1
tanajno;2015-03-17;0
komorowski;2015-03-21;98
komorowski;2015-03-22;1
duda;2015-03-21;11
duda;2015-03-22;1
korwin;2015-03-21;12
ogorek;2015-03-21;-3
jarubas;2015-03-21;1
kukiz;2015-03-21;-13
palikot;2015-03-21;6
kowalski;2015-03-21;1
komorowski;2015-03-22;94
duda;2015-03-22;13
korwin;2015-03-22;8
ogorek;2015-03-22;-3
jarubas;2015-03-22;6
kukiz;2015-03-22;18
palikot;2015-03-22;6
wilk;2015-03-22;0
braun;2015-03-22;2
kowalski;2015-03-22;1
komorowski;2015-03-23;34
duda;2015-03-23;44
korwin;2015-03-23;-13
ogorek;2015-03-23;23
jarubas;2015-03-23;-22
kukiz;2015-03-23;0
palikot;2015-03-23;4
wilk;2015-03-23;1
braun;2015-03-23;0
kowalski;2015-03-23;0
komorowski;2015-03-24;95
duda;2015-03-24;109
korwin;2015-03-24;79
ogorek;2015-03-24;22
jarubas;2015-03-24;3
kukiz;2015-03-24;0
palikot;2015-03-24;20
wilk;2015-03-24;1
braun;2015-03-24;2
kowalski;2015-03-24;3
komorowski;2015-03-25;-20
duda;2015-03-25;6
korwin;2015-03-25;0
ogorek;2015-03-25;0
jarubas;2015-03-25;0
kukiz;2015-03-25;2
palikot;2015-03-25;2
komorowski;2015-03-26;-395
komorowski;2015-03-27;-1
duda;2015-03-26;15
duda;2015-03-27;-3
korwin;2015-03-26;26
ogorek;2015-03-26;-4
jarubas;2015-03-26;2
kukiz;2015-03-26;10
palikot;2015-03-26;26
wilk;2015-03-26;2
braun;2015-03-26;1
kowalski;2015-03-26;1
tanajno;2015-03-26;2
komorowski;2015-03-27;-120
duda;2015-03-27;100
korwin;2015-03-27;39
ogorek;2015-03-27;-4
jarubas;2015-03-27;-5
kukiz;2015-03-27;5
palikot;2015-03-27;-9
wilk;2015-03-27;-2
braun;2015-03-27;2
kowalski;2015-03-27;-3
tanajno;2015-03-27;-2
komorowski;2015-03-28;-44
duda;2015-03-28;-5
korwin;2015-03-28;23
ogorek;2015-03-28;3
jarubas;2015-03-28;-4
kukiz;2015-03-28;9
palikot;2015-03-28;21
wilk;2015-03-28;3
braun;2015-03-28;2
kowalski;2015-03-28;-1
tanajno;2015-03-28;1
komorowski;2015-03-29;54
duda;2015-03-29;34
korwin;2015-03-29;19
ogorek;2015-03-29;4
jarubas;2015-03-29;5
kukiz;2015-03-29;-1
palikot;2015-03-29;-9
wilk;2015-03-29;0
braun;2015-03-29;-3
komorowski;2015-03-30;-40
duda;2015-03-30;-16
korwin;2015-03-30;19
ogorek;2015-03-30;-8
jarubas;2015-03-30;-1
kukiz;2015-03-30;2
palikot;2015-03-30;-14
wilk;2015-03-30;-1
braun;2015-03-30;-3
kowalski;2015-03-30;0
komorowski;2015-03-31;13
duda;2015-03-31;67
korwin;2015-03-31;8
ogorek;2015-03-31;4
jarubas;2015-03-31;4
kukiz;2015-03-31;11
palikot;2015-03-31;1
wilk;2015-03-31;-1
braun;2015-03-31;-1
kowalski;2015-03-31;-1
tanajno;2015-03-31;-1
komorowski;2015-04-01;86
duda;2015-04-01;-19
korwin;2015-04-01;-27
ogorek;2015-04-01;1
jarubas;2015-04-01;2
kukiz;2015-04-01;12
palikot;2015-04-01;-165
wilk;2015-04-01;-1
braun;2015-04-01;0
kowalski;2015-04-01;0
komorowski;2015-04-02;-4
duda;2015-04-02;0
korwin;2015-04-02;7
ogorek;2015-04-02;1
jarubas;2015-04-02;1
kukiz;2015-04-02;-5
palikot;2015-04-02;6
braun;2015-04-02;0
kowalski;2015-04-02;0
komorowski;2015-04-03;52
duda;2015-04-03;-10
korwin;2015-04-03;8
ogorek;2015-04-03;6
jarubas;2015-04-03;4
kukiz;2015-04-03;4
palikot;2015-04-03;5
braun;2015-04-03;5
kowalski;2015-04-03;2
komorowski;2015-04-04;-15
duda;2015-04-04;-1
korwin;2015-04-04;2
ogorek;2015-04-04;-1
jarubas;2015-04-04;0
kukiz;2015-04-04;14
palikot;2015-04-04;4
braun;2015-04-04;0
kowalski;2015-04-04;1
tanajno;2015-04-04;1
komorowski;2015-04-06;11
duda;2015-04-06;10
korwin;2015-04-06;3
kukiz;2015-04-06;0
palikot;2015-04-06;1
komorowski;2015-04-07;83
duda;2015-04-07;-5
korwin;2015-04-07;-4
ogorek;2015-04-07;-1
jarubas;2015-04-07;2
kukiz;2015-04-07;-10
palikot;2015-04-07;1
komorowski;2015-04-08;45
duda;2015-04-08;26
korwin;2015-04-08;-5
ogorek;2015-04-08;1
jarubas;2015-04-08;1
kukiz;2015-04-08;0
palikot;2015-04-08;-12
braun;2015-04-08;0
kowalski;2015-04-08;0
tanajno;2015-04-08;0
komorowski;2015-04-11;-17
duda;2015-04-11;-68
korwin;2015-04-11;6
ogorek;2015-04-11;5
jarubas;2015-04-11;2
kukiz;2015-04-11;7
palikot;2015-04-11;5
wilk;2015-04-11;0
kowalski;2015-04-11;1
komorowski;2015-04-12;258
duda;2015-04-12;108
korwin;2015-04-12;-5
ogorek;2015-04-12;-10
jarubas;2015-04-12;-3
kukiz;2015-04-12;5
palikot;2015-04-12;-1
braun;2015-04-12;1
komorowski;2015-04-13;218
komorowski;2015-04-14;1
duda;2015-04-13;30
duda;2015-04-14;2
korwin;2015-04-13;29
ogorek;2015-04-13;3
jarubas;2015-04-13;-1
kukiz;2015-04-13;-41
palikot;2015-04-13;-30
wilk;2015-04-13;-2
braun;2015-04-13;-2
kowalski;2015-04-13;1
kowalski;2015-04-14;0
tanajno;2015-04-13;1
komorowski;2015-04-14;196
duda;2015-04-14;-12
korwin;2015-04-14;73
ogorek;2015-04-14;-4
jarubas;2015-04-14;-3
kukiz;2015-04-14;12
palikot;2015-04-14;47
wilk;2015-04-14;2
braun;2015-04-14;2
kowalski;2015-04-14;0
komorowski;2015-04-15;158
duda;2015-04-15;71
korwin;2015-04-15;11
ogorek;2015-04-15;24
jarubas;2015-04-15;-5
kukiz;2015-04-15;20
palikot;2015-04-15;7
wilk;2015-04-15;0
braun;2015-04-15;0
kowalski;2015-04-15;2
tanajno;2015-04-15;0
komorowski;2015-04-16;113
duda;2015-04-16;33
korwin;2015-04-16;-70
ogorek;2015-04-16;17
jarubas;2015-04-16;-1
kukiz;2015-04-16;46
palikot;2015-04-16;2
wilk;2015-04-16;2
braun;2015-04-16;0
kowalski;2015-04-16;5
tanajno;2015-04-16;2
komorowski;2015-04-17;175
duda;2015-04-17;98
korwin;2015-04-17;15
ogorek;2015-04-17;10
jarubas;2015-04-17;4
kukiz;2015-04-17;54
palikot;2015-04-17;-7
wilk;2015-04-17;2
braun;2015-04-17;13
kowalski;2015-04-17;-1
tanajno;2015-04-17;-1
komorowski;2015-04-18;38
duda;2015-04-18;66
korwin;2015-04-18;21
ogorek;2015-04-18;7
jarubas;2015-04-18;-1
kukiz;2015-04-18;-10
palikot;2015-04-18;-4
wilk;2015-04-18;0
braun;2015-04-18;-10
kowalski;2015-04-18;0
komorowski;2015-04-19;-9
duda;2015-04-19;6
korwin;2015-04-19;7
kukiz;2015-04-19;3
palikot;2015-04-19;0
braun;2015-04-19;1
kowalski;2015-04-19;0
komorowski;2015-04-20;36
duda;2015-04-20;30
korwin;2015-04-20;-14
ogorek;2015-04-20;0
jarubas;2015-04-20;1
kukiz;2015-04-20;5
palikot;2015-04-20;2
braun;2015-04-20;1
kowalski;2015-04-20;0
komorowski;2015-04-21;21
komorowski;2015-04-22;7
duda;2015-04-21;-31
duda;2015-04-22;-2
korwin;2015-04-21;-18
korwin;2015-04-22;-2
ogorek;2015-04-21;-1
jarubas;2015-04-21;-4
kukiz;2015-04-21;-4
kukiz;2015-04-22;-2
palikot;2015-04-21;-1
braun;2015-04-21;0
braun;2015-04-22;0
komorowski;2015-04-22;380
duda;2015-04-22;102
korwin;2015-04-22;-25
ogorek;2015-04-22;-14
jarubas;2015-04-22;-18
kukiz;2015-04-22;-3
palikot;2015-04-22;-13
wilk;2015-04-22;8
braun;2015-04-22;1
kowalski;2015-04-22;2
tanajno;2015-04-22;3
komorowski;2015-04-24;180
komorowski;2015-04-25;-1
duda;2015-04-24;84
duda;2015-04-25;-3
korwin;2015-04-24;3
korwin;2015-04-25;-2
ogorek;2015-04-24;-6
ogorek;2015-04-25;3
jarubas;2015-04-24;0
kukiz;2015-04-24;9
kukiz;2015-04-25;1
palikot;2015-04-24;6
palikot;2015-04-25;-2
wilk;2015-04-24;1
braun;2015-04-24;-1
braun;2015-04-25;0
kowalski;2015-04-24;-1
kowalski;2015-04-25;0
tanajno;2015-04-24;-5
tanajno;2015-04-25;0
komorowski;2015-04-25;8
komorowski;2015-04-26;0
duda;2015-04-25;76
korwin;2015-04-25;34
ogorek;2015-04-25;3
jarubas;2015-04-25;0
kukiz;2015-04-25;14
palikot;2015-04-25;-36
wilk;2015-04-25;1
braun;2015-04-25;-3
kowalski;2015-04-25;0
tanajno;2015-04-25;0
komorowski;2015-04-26;79
duda;2015-04-26;45
korwin;2015-04-26;54
ogorek;2015-04-26;6
jarubas;2015-04-26;1
kukiz;2015-04-26;35
palikot;2015-04-26;12
wilk;2015-04-26;0
braun;2015-04-26;0
kowalski;2015-04-26;0
tanajno;2015-04-26;-1
komorowski;2015-04-27;169
duda;2015-04-27;211
korwin;2015-04-27;75
ogorek;2015-04-27;6
jarubas;2015-04-27;-1
kukiz;2015-04-27;5
palikot;2015-04-27;-8
wilk;2015-04-27;0
braun;2015-04-27;6
kowalski;2015-04-27;0
tanajno;2015-04-27;0
komorowski;2015-04-29;285
komorowski;2015-04-30;-2
duda;2015-04-29;147
duda;2015-04-30;1
korwin;2015-04-29;50
korwin;2015-04-30;0
ogorek;2015-04-29;16
jarubas;2015-04-29;8
kukiz;2015-04-29;8
kukiz;2015-04-30;0
palikot;2015-04-29;33
wilk;2015-04-29;0
braun;2015-04-29;-2
kowalski;2015-04-29;-2
tanajno;2015-04-29;-3
komorowski;2015-04-30;-248
duda;2015-04-30;46
korwin;2015-04-30;16
ogorek;2015-04-30;1
jarubas;2015-04-30;2
kukiz;2015-04-30;3
palikot;2015-04-30;7
wilk;2015-04-30;1
braun;2015-04-30;-3
kowalski;2015-04-30;-1
tanajno;2015-04-30;1
komorowski;2015-05-01;105
komorowski;2015-05-02;1
duda;2015-05-01;100
duda;2015-05-02;3
korwin;2015-05-01;77
ogorek;2015-05-01;16
jarubas;2015-05-01;18
kukiz;2015-05-01;176
kukiz;2015-05-02;4
palikot;2015-05-01;56
wilk;2015-05-01;1
braun;2015-05-01;8
kowalski;2015-05-01;7
tanajno;2015-05-01;-3
komorowski;2015-05-02;178
komorowski;2015-05-03;2
duda;2015-05-02;61
duda;2015-05-03;2
korwin;2015-05-02;60
korwin;2015-05-03;-1
ogorek;2015-05-02;-3
jarubas;2015-05-02;3
kukiz;2015-05-02;52
kukiz;2015-05-03;0
palikot;2015-05-02;3
wilk;2015-05-02;0
braun;2015-05-02;-8
kowalski;2015-05-02;-4
tanajno;2015-05-02;-4
komorowski;2015-05-03;-61
komorowski;2015-05-04;-2
duda;2015-05-03;9
duda;2015-05-04;4
korwin;2015-05-03;33
korwin;2015-05-04;0
ogorek;2015-05-03;18
jarubas;2015-05-03;-1
jarubas;2015-05-04;0
kukiz;2015-05-03;40
kukiz;2015-05-04;0
palikot;2015-05-03;45
palikot;2015-05-04;1
wilk;2015-05-03;6
braun;2015-05-03;18
kowalski;2015-05-03;-3
tanajno;2015-05-03;3
komorowski;2015-05-04;84
duda;2015-05-04;188
korwin;2015-05-04;24
ogorek;2015-05-04;-7
jarubas;2015-05-04;-6
kukiz;2015-05-04;56
palikot;2015-05-04;1
wilk;2015-05-04;-1
braun;2015-05-04;-6
kowalski;2015-05-04;0
tanajno;2015-05-04;2
komorowski;2015-05-05;128
komorowski;2015-05-06;6
duda;2015-05-05;269
duda;2015-05-06;1
korwin;2015-05-05;70
korwin;2015-05-06;4
ogorek;2015-05-05;40
ogorek;2015-05-06;5
jarubas;2015-05-05;30
jarubas;2015-05-06;16
kukiz;2015-05-05;33
kukiz;2015-05-06;24
palikot;2015-05-05;42
palikot;2015-05-06;6
wilk;2015-05-05;22
wilk;2015-05-06;6
braun;2015-05-05;3
braun;2015-05-06;-3
kowalski;2015-05-05;20
kowalski;2015-05-06;4
tanajno;2015-05-05;9
tanajno;2015-05-06;-2
komorowski;2015-05-06;310
duda;2015-05-06;129
korwin;2015-05-06;-14
ogorek;2015-05-06;27
jarubas;2015-05-06;18
kukiz;2015-05-06;-57
palikot;2015-05-06;43
wilk;2015-05-06;0
braun;2015-05-06;-3
kowalski;2015-05-06;25
tanajno;2015-05-06;-2
komorowski;2015-05-07;402
duda;2015-05-07;226
korwin;2015-05-07;82
ogorek;2015-05-07;-17
jarubas;2015-05-07;18
kukiz;2015-05-07;153
palikot;2015-05-07;6
wilk;2015-05-07;-6
braun;2015-05-07;1
kowalski;2015-05-07;1
tanajno;2015-05-07;0
komorowski;2015-05-08;29
duda;2015-05-08;8
korwin;2015-05-08;28
ogorek;2015-05-08;4
jarubas;2015-05-08;14
kukiz;2015-05-08;-119
palikot;2015-05-08;16
wilk;2015-05-08;-1
braun;2015-05-08;-1
kowalski;2015-05-08;-1
tanajno;2015-05-08;2
komorowski;2015-05-10;-24
duda;2015-05-10;-36
korwin;2015-05-10;5
ogorek;2015-05-10;-9
jarubas;2015-05-10;-2
kukiz;2015-05-10;-27
palikot;2015-05-10;-6
wilk;2015-05-10;1
braun;2015-05-10;-15
kowalski;2015-05-10;2
tanajno;2015-05-10;-2
komorowski;2015-05-11;-151
duda;2015-05-11;-47
korwin;2015-05-11;-27
ogorek;2015-05-11;4
jarubas;2015-05-11;-1
kukiz;2015-05-11;2
palikot;2015-05-11;-10
wilk;2015-05-11;-2
braun;2015-05-11;2
kowalski;2015-05-11;3
tanajno;2015-05-11;-2
